BveTs Structure List 2.00:utf-8

Rail,Structures\Tracks\Rail.x,//CG
Sign_15,Structures\Sign\15.x,//閉塞標識
Sign_16,Structures\Sign\16.x,//閉塞標識
Sign_17,Structures\Sign\17.x,//閉塞標識
Sign_18,Structures\Sign\18.x,//閉塞標識
Sign_19,Structures\Sign\19.x,//閉塞標識
Sign_arv_1,Structures\Sign\arv_1.x,//閉塞標識
Sign_arv_2,Structures\Sign\arv_2.x,//閉塞標識
Sign_arv_3,Structures\Sign\arv_3.x,//閉塞標識
Sign_arv_4,Structures\Sign\arv_4.x,//閉塞標識
Sign_dep,Structures\Sign\dep.x,//閉塞標識
Sign_limit_25,Structures\Sign\limit_25.x,//制限速度標識
Sign_limit_35,Structures\Sign\limit_35.x,//制限速度標識
Sign_limit_40,Structures\Sign\limit_40.x,//制限速度標識
Sign_limit_45,Structures\Sign\limit_45.x,//制限速度標識
Sign_limit_50,Structures\Sign\limit_50.x,//制限速度標識
Sign_limit_55,Structures\Sign\limit_55.x,//制限速度標識
Sign_limit_60,Structures\Sign\limit_60.x,//制限速度標識
Sign_limit_65,Structures\Sign\limit_65.x,//制限速度標識
Sign_limit_70,Structures\Sign\limit_70.x,//制限速度標識
Sign_limit_75,Structures\Sign\limit_75.x,//制限速度標識

Toyoko_Wall,Structures\Wall\Toyoko_Wall.x,//東横線 線路下壁
nakame_03,Structures\Wall\nakame_03.x,//中目黒周辺壁03
Toyoko_Wall_U,Structures\Wall\Toyoko_Wall_U.x,//東横線 線路上部壁

Wall_L,Structures\Wall\Wall_L.x
Wall_R,Structures\Wall\Wall_R_01.x

Wall_L_01,Structures\Wall\Wall_L_01.x
light,Structures\Wall\light.x,//トンネル照明
kasen,Structures\Wall\kasen.x,//架線
Nakame_01,Structures\Wall\Nakame_01.x,//中目黒周辺壁
Nakame_02,Structures\Wall\Nakame_02.x,//中目黒周辺壁
nakame_04,Structures\Wall\nakame_04.x,//中目黒保線エリア壁
Wall_R_01,Structures\Wall\Wall_R_01.x
Wall_R_02,Structures\Wall\Wall_R_02.x,//暗いトンネル中央の支柱
Wall_R_03,Structures\Wall\Wall_R_03.x,//明るいトンネル中央の支柱（駅用）
Wall_Front,Structures\Wall\Wall_Front.x,//トンネル入り口
Wall_Front_02,Structures\Wall\Wall_Front_02.x,//保線線路終端壁

nakame_b01,Structures\Bilding\nakame_01.x,//中目黒建物群
nakame_b02,Structures\Bilding\nakame_02.x,//中目黒建物群02
nakame_b03,Structures\Bilding\nakame_03.x,//中目黒建物群03
hosen,Structures\Train\hosen.x,//保線車両

Top,Structures\Wall\Top_01.x
